Topic,Words,Frequency,Timestamp
15,"litigation, proceedings, lawsuits, legal, claims",15,2013
16,"properties, environmental, contamination, property, substances",15,2013
17,"firm, chase, jpmorgan, risk, businesses",10,2013
18,"carriers, airlines, hubs, competition, domestic",2,2013
19,"key, employees, retain, products, personnel",11,2013
20,"tobacco, altria, subsidiaries, group, cigarettes",7,2013
21,"systems, information, loss, customer, business",4,2013
22,"moody, rating, eu, ratings, credibility",4,2013
23,"centers, customers, ibx, data, service",4,2013
24,"ceo, hazardous, mcclendon, key, materials",3,2013
25,"tax, income, laws, changes, company",3,2013
26,"joint, venture, partners, venturers, interests",4,2013
27,"stock, price, market, securities, common",9,2013
28,"subcontractors, suppliers, products, components, distributors",3,2013
-1,"financial, business, operations, results, including",266,2014
0,"environmental, gas, regulations, costs, facilities",82,2014
1,"product, health, products, laws, federal",70,2014
2,"information, systems, security, technology, data",46,2014
3,"data, privacy, security, information, personal",20,2014
4,"foreign, countries, currency, operations, international",30,2014
5,"tenants, properties, bankruptcy, lease, tenant",19,2014
6,"products, product, consumer, ingredients, reputation",18,2014
7,"goodwill, impairment, assets, intangible, value",24,2014
8,"food, restaurants, restaurant, concepts, franchisees",19,2014
9,"debt, indebtedness, capital, credit, notes",21,2014
10,"acquired, acquisitions, businesses, acquisition, business",10,2014
11,"laws, regulations, bribery, compliance, anti",20,2014
12,"intellectual, property, rights, protect, patents",11,2014
13,"fcc, wireless, spectrum, broadband, renewal",13,2014
14,"credit, securities, market, risk, financial",14,2014
15,"litigation, proceedings, legal, claims, lawsuits",11,2014
16,"properties, environmental, contamination, substances, property",15,2014
17,"firm, chase, jpmorgan, risk, management",6,2014
18,"carriers, covid, 19, pandemic, operations",3,2014
19,"key, products, employees, demand, semiconductor",7,2014
20,"tobacco, altria, group, subsidiaries, products",9,2014
21,"systems, stores, software, sales, business",4,2014
22,"moody, rating, eu, ratings, cras",4,2014
23,"centers, customers, ibx, service, data",4,2014
24,"attacks, information, assets, threats, operations",5,2014
25,"tax, income, jurisdictions, changes, taxes",6,2014
26,"joint, venture, partners, interests, venturers",5,2014
27,"stock, common, price, market, securities",6,2014
28,"subcontractors, outsource, suppliers, subcontractor, services",2,2014
-1,"business, financial, operations, results, services",276,2015
0,"environmental, gas, regulations, operations, energy",88,2015
1,"product, health, products, laws, federal",74,2015
2,"information, systems, security, data, technology",52,2015
3,"data, information, security, privacy, personal",23,2015
4,"foreign, currency, countries, exchange, operations",34,2015
5,"properties, tenants, tenant, bankruptcy, lease",23,2015
6,"products, product, consumer, ingredients, reputation",21,2015
7,"goodwill, impairment, assets, intangible, value",22,2015
8,"food, restaurants, restaurant, concepts, franchisees",21,2015
9,"debt, indebtedness, credit, capital, oneok",19,2015
10,"acquired, acquisitions, acquisition, businesses, business",15,2015
11,"laws, bribery, compliance, anti, regulations",19,2015
12,"intellectual, property, rights, patent, protect",16,2015
13,"wireless, fcc, spectrum, content, services",15,2015
14,"credit, securities, market, risk, financial",12,2015
15,"litigation, proceedings, legal, claims, lawsuits",10,2015
16,"properties, environmental, contamination, substances, property",16,2015
17,"firm, chase, jpmorgan, risk, credit",7,2015
18,"disaster, man, natural, terrorism, operations",2,2015
19,"employees, key, retain, products, personnel",10,2015
20,"tobacco, altria, group, subsidiaries, products",9,2015
21,"systems, zebra, business, enterprise, erp",4,2015
22,"moody, rating, company, ratings, eu",5,2015
23,"centers, power, data, customers, ibx",5,2015
24,"information, infrastructure, systems, gas, assets",6,2015
25,"tax, income, changes, taxes, earnings",7,2015
26,"joint, venture, partners, interests, venturers",5,2015
27,"stock, price, common, market, securities",5,2015
28,"subcontractors, outsource, suppliers, components, services",4,2015
-1,"business, financial, operations, results, including",274,2016
0,"gas, environmental, facilities, costs, operations",91,2016
1,"product, health, products, fda, laws",75,2016
2,"information, systems, security, data, technology",49,2016
3,"data, information, security, privacy, personal",24,2016
4,"foreign, currency, operations, exchange, countries",37,2016
5,"properties, tenants, tenant, lease, bankruptcy",21,2016
6,"products, product, consumer, ingredients, reputation",19,2016
7,"goodwill, impairment, assets, intangible, value",24,2016
8,"food, concepts, restaurants, franchisees, restaurant",8,2016
9,"debt, indebtedness, capital, covenants, credit",21,2016
10,"acquired, acquisitions, twc, acquisition, transaction",15,2016
11,"laws, bribery, anti, regulations, compliance",22,2016
12,"intellectual, property, rights, patent, protect",16,2016
13,"fcc, wireless, spectrum, content, services",11,2016
14,"credit, risk, market, securities, financial",14,2016
15,"lawsuits, litigation, proceedings, legal, matters",8,2016
16,"properties, environmental, contamination, substances, asbestos",15,2016
17,"firm, chase, jpmorgan, clients, credit",8,2016
18,"man, disaster, terrorism, disasters, events",2,2016
19,"key, employees, personnel, retain, senior",11,2016
20,"tobacco, altria, subsidiaries, group, products",8,2016
21,"systems, technology, guest, financial, business",5,2016
22,"moody, company, ratings, rating, eu",6,2016
23,"centers, ibx, customers, power, data",8,2016
24,"information, infrastructure, production, gas, natural",6,2016
25,"tax, income, rate, changes, effective",6,2016
26,"joint, venture, partners, interests, venturers",6,2016
27,"stock, price, common, market, securities",4,2016
28,"components, subcontractors, outsource, suppliers, parties",4,2016
-1,"business, financial, operations, results, including",281,2017
0,"gas, environmental, natural, facilities, operations",87,2017
1,"product, products, health, fda, federal",81,2017
2,"information, systems, security, data, attacks",61,2017
3,"data, information, privacy, security, personal",25,2017
4,"foreign, countries, operations, currency, international",32,2017
5,"properties, tenants, tenant, bankruptcy, lease",26,2017
6,"products, product, consumer, ingredients, including",26,2017
7,"goodwill, impairment, assets, intangible, value",20,2017
8,"food, restaurants, concepts, restaurant, franchisees",35,2017
9,"debt, indebtedness, capital, covenants, credit",17,2017
10,"acquired, acquisitions, acquisition, businesses, business",17,2017
11,"laws, bribery, regulations, anti, compliance",19,2017
12,"intellectual, property, rights, patent, protect",19,2017
13,"content, fcc, wireless, spectrum, services",13,2017
14,"credit, firm, market, risk, securities",14,2017
15,"litigation, proceedings, lawsuits, legal, claims",13,2017
16,"environmental, properties, contamination, asbestos, hazardous",15,2017
17,"firm, chase, jpmorgan, credit, market",8,2017
18,"disaster, man, carriers, aircraft, operations",2,2017
19,"key, employees, personnel, retain, products",11,2017
20,"tobacco, altria, group, subsidiaries, products",12,2017
21,"systems, financial, business, technology, information",6,2017
22,"moody, ratings, company, cras, rating",7,2017
23,"centers, power, customers, data, ibx",6,2017
24,"information, gas, production, natural, infrastructure",8,2017
25,"tax, income, estimates, changes, company",4,2017
26,"joint, venture, partners, interests, investments",5,2017
27,"stock, common, price, market, securities",5,2017
28,"outsource, subcontractors, components, suppliers, parties",6,2017
-1,"business, financial, operations, results, including",297,2018
0,"gas, environmental, energy, natural, costs",94,2018
1,"product, products, health, laws, fda",80,2018
2,"information, systems, security, attacks, data",57,2018
3,"data, information, privacy, security, personal",35,2018
4,"foreign, currency, operations, international, countries",37,2018
5,"properties, tenants, tenant, bankruptcy, lease",31,2018
6,"products, product, consumer, ingredients, packaging",25,2018
7,"goodwill, impairment, assets, intangible, value",23,2018
8,"food, concepts, restaurants, restaurant, franchisees",33,2018
9,"debt, indebtedness, capital, credit, covenants",18,2018
10,"acquired, acquisitions, acquisition, businesses, transaction",18,2018
11,"laws, anti, regulations, bribery, compliance",18,2018
12,"intellectual, property, rights, patent, protect",16,2018
13,"wireless, fcc, spectrum, content, services",16,2018
14,"credit, securities, risk, company, loans",9,2018
15,"litigation, proceedings, lawsuits, claims, legal",11,2018
16,"properties, environmental, contamination, hazardous, asbestos",14,2018
17,"chase, jpmorgan, firm, market, clients",19,2018
18,"disaster, man, continuity, operations, natural",1,2018
19,"employees, key, retain, personnel, semiconductor",9,2018
20,"tobacco, altria, group, subsidiaries, products",11,2018
21,"systems, technology, business, software, financial",4,2018
22,"moody, ratings, company, cras, rating",7,2018
23,"centers, customers, ibx, data, power",8,2018
24,"information, natural, gas, production, systems",7,2018
25,"tax, income, act, rate, changes",9,2018
26,"joint, venture, partners, interests, investments",5,2018
27,"stock, common, price, market, securities",4,2018
28,"subcontractors, suppliers, components, services, outsource",7,2018
-1,"business, financial, operations, results, including",287,2019
0,"gas, environmental, energy, natural, costs",103,2019
1,"products, product, health, fda, laws",81,2019
2,"information, systems, security, data, attacks",73,2019
3,"data, privacy, information, security, personal",42,2019
4,"foreign, currency, countries, operations, international",38,2019
5,"properties, tenants, tenant, bankruptcy, lease",31,2019
6,"products, product, consumer, packaging, including",27,2019
7,"goodwill, impairment, assets, intangible, value",25,2019
8,"food, restaurants, concepts, restaurant, franchisees",37,2019
9,"debt, indebtedness, capital, covenants, credit",22,2019
10,"acquired, acquisitions, businesses, acquisition, transaction",19,2019
11,"laws, anti, bribery, regulations, compliance",22,2019
12,"intellectual, property, rights, protect, patent",20,2019
13,"wireless, fcc, spectrum, content, services",15,2019
14,"credit, company, risk, loans, market",11,2019
15,"litigation, claims, proceedings, legal, matters",16,2019
16,"properties, environmental, contamination, property, substances",16,2019
17,"chase, jpmorgan, firm, clients, regulatory",21,2019
18,"company, catastrophic, events, operations, executives",2,2019
19,"key, employees, skilled, retain, semiconductor",8,2019
20,"tobacco, altria, subsidiaries, adult, products",12,2019
21,"systems, technology, business, financial, customer",8,2019
22,"moody, ma, ratings, company, rating",10,2019
23,"centers, power, customers, ibx, data",7,2019
24,"information, gas, natural, infrastructure, production",12,2019
25,"tax, rate, income, effective, changes",5,2019
26,"joint, venture, partners, interests, investments",5,2019
27,"stock, price, common, market, securities",6,2019
28,"suppliers, components, subcontractors, products, services",6,2019
-1,"business, financial, operations, company, including",258,2020
0,"gas, environmental, energy, costs, regulations",115,2020
1,"products, product, health, laws, fda",84,2020
2,"information, systems, security, attacks, data",77,2020
3,"data, privacy, information, security, personal",45,2020
4,"foreign, currency, countries, operations, international",42,2020
5,"properties, tenants, tenant, bankruptcy, lease",32,2020
6,"products, product, canopy, consumer, packaging",34,2020
7,"goodwill, impairment, assets, intangible, value",23,2020
8,"food, concepts, restaurants, franchisees, restaurant",25,2020
9,"debt, indebtedness, libor, covenants, credit",26,2020
10,"acquired, acquisitions, acquisition, businesses, business",26,2020
11,"laws, regulations, bribery, compliance, anti",19,2020
12,"intellectual, property, rights, protect, patents",22,2020
13,"wireless, fcc, services, spectrum, content",18,2020
14,"credit, company, loans, risk, securities",13,2020
15,"litigation, claims, proceedings, lawsuits, legal",15,2020
16,"properties, environmental, contamination, property, substances",14,2020
17,"chase, jpmorgan, firm, clients, market",16,2020
18,"covid, 19, pandemic, operations, business",13,2020
19,"key, personnel, retain, employees, products",12,2020
20,"tobacco, altria, subsidiaries, juul, products",13,2020
21,"systems, technology, information, business, customer",9,2020
22,"moody, ratings, company, ma, eu",8,2020
23,"centers, customers, data, power, ibx",8,2020
24,"information, gas, natural, systems, infrastructure",9,2020
25,"tax, income, changes, rate, jurisdictions",13,2020
26,"joint, venture, partners, interests, partnership",8,2020
27,"stock, price, market, common, securities",5,2020
28,"subcontractors, components, suppliers, services, products",6,2020
-1,"business, financial, company, operations, including",281,2021
0,"environmental, gas, energy, regulations, operations",121,2021
1,"products, product, drug, laws, fda",90,2021
2,"information, systems, security, attacks, data",87,2021
3,"data, privacy, information, security, laws",44,2021
4,"foreign, currency, countries, operations, trade",36,2021
5,"properties, tenants, tenant, rent, bankruptcy",42,2021
6,"products, product, consumer, packaging, canopy",28,2021
7,"goodwill, impairment, assets, intangible, value",25,2021
8,"food, concepts, restaurants, restaurant, franchisees",29,2021
9,"debt, indebtedness, libor, credit, covenants",22,2021
10,"acquired, acquisitions, acquisition, businesses, transaction",23,2021
11,"laws, anti, bribery, compliance, regulations",14,2021
12,"intellectual, property, rights, patents, protect",16,2021
13,"wireless, services, fcc, content, subscribers",12,2021
14,"credit, loans, company, risk, market",12,2021
15,"litigation, claims, matters, legal, proceedings",10,2021
16,"properties, environmental, contamination, asbestos, property",12,2021
17,"chase, jpmorgan, firm, clients, market",22,2021
18,"covid, 19, pandemic, operations, business",49,2021
19,"key, personnel, products, distributors, retain",8,2021
20,"tobacco, altria, subsidiaries, products, juul",15,2021
21,"systems, technology, business, initiatives, information",7,2021
22,"moody, company, ratings, rating, ma",9,2021
23,"centers, customers, data, power, ibx",9,2021
24,"information, gas, cyber, chemical, natural",6,2021
25,"tax, income, rate, changes, jurisdictions",9,2021
26,"joint, venture, partners, interests, partnership",8,2021
27,"stock, price, market, common, securities",3,2021
28,"subcontractors, suppliers, parties, services, components",4,2021
-1,"business, company, financial, operations, including",296,2022
0,"environmental, gas, energy, costs, regulations",150,2022
1,"products, product, laws, health, fda",90,2022
2,"systems, information, security, attacks, data",101,2022
3,"data, privacy, information, personal, security",50,2022
4,"foreign, countries, currency, operations, trade",36,2022
5,"properties, tenants, tenant, rent, bankruptcy",41,2022
6,"products, product, consumer, packaging, including",28,2022
7,"goodwill, impairment, assets, intangible, value",20,2022
8,"food, concepts, restaurants, franchisees, restaurant",29,2022
9,"debt, indebtedness, covenants, credit, capital",19,2022
10,"acquired, acquisition, acquisitions, transaction, business",23,2022
11,"laws, bribery, anti, regulations, compliance",14,2022
12,"intellectual, property, rights, patents, protect",14,2022
13,"wireless, services, spectrum, fcc, content",16,2022
14,"credit, risk, securities, loans, company",11,2022
15,"litigation, claims, matters, proceedings, legal",15,2022
16,"properties, environmental, contamination, substances, real",12,2022
17,"chase, jpmorgan, firm, market, regulatory",20,2022
18,"covid, 19, pandemic, business, operations",49,2022
19,"key, employees, personnel, retain, products",12,2022
20,"tobacco, altria, investees, products, juul",14,2022
21,"systems, technology, customer, customers, business",9,2022
22,"moody, company, ratings, ma, cras",9,2022
23,"centers, customers, power, data, ibx",8,2022
24,"information, gas, natural, pipelines, facilities",8,2022
25,"tax, income, jurisdictions, changes, rate",8,2022
26,"joint, venture, partners, interests, ventures",8,2022
27,"stock, common, price, market, securities",4,2022
28,"subcontractors, suppliers, services, components, parties",4,2022
-1,"business, financial, company, operations, including",299,2023
0,"environmental, gas, energy, costs, operations",174,2023
1,"products, product, laws, health, fda",87,2023
2,"systems, information, security, attacks, data",109,2023
3,"data, privacy, information, personal, laws",61,2023
4,"foreign, currency, countries, operations, international",49,2023
5,"properties, tenants, tenant, bankruptcy, lease",41,2023
6,"products, product, consumer, packaging, brands",27,2023
7,"goodwill, impairment, assets, intangible, value",17,2023
8,"food, concepts, restaurants, franchisees, restaurant",27,2023
9,"debt, indebtedness, capital, credit, covenants",25,2023
10,"acquired, acquisitions, transaction, acquisition, business",21,2023
11,"laws, regulations, compliance, anti, bribery",17,2023
12,"intellectual, property, rights, patents, protect",22,2023
13,"wireless, fcc, services, spectrum, content",16,2023
14,"credit, company, risk, loans, collateral",13,2023
15,"litigation, matters, claims, proceedings, company",12,2023
16,"properties, environmental, contamination, asbestos, property",14,2023
17,"chase, jpmorgan, firm, regulatory, actions",19,2023
18,"covid, 19, pandemic, operations, business",33,2023
19,"key, retain, employees, personnel, attract",14,2023
20,"tobacco, products, altria, adult, juul",12,2023
21,"systems, technology, business, customer, digital",11,2023
22,"moody, company, ratings, cras, ma",9,2023
23,"centers, customers, data, power, ibx",9,2023
24,"information, gas, infrastructure, systems, natural",10,2023
25,"tax, income, rate, changes, effective",9,2023
26,"joint, venture, partners, interests, ventures",6,2023
27,"stock, price, common, market, shareholders",3,2023
28,"subcontractors, suppliers, services, parties, components",5,2023
-1,"business, financial, company, including, operations",321,2024
0,"environmental, gas, energy, costs, regulations",195,2024
1,"products, product, laws, health, fda",101,2024
2,"systems, information, security, cybersecurity, attacks",155,2024
3,"data, privacy, personal, information, laws",60,2024
4,"foreign, currency, operations, countries, international",45,2024
5,"properties, tenants, managers, bankruptcy, tenant",34,2024
6,"products, product, packaging, consumer, including",41,2024
7,"goodwill, impairment, assets, intangible, value",17,2024
8,"food, concepts, restaurants, franchisees, restaurant",28,2024
9,"debt, indebtedness, credit, capital, covenants",27,2024
10,"acquired, merger, acquisitions, acquisition, business",44,2024
11,"laws, anti, regulations, bribery, compliance",16,2024
12,"intellectual, property, rights, protect, patents",21,2024
13,"wireless, services, fcc, content, spectrum",19,2024
14,"credit, risk, company, losses, loans",14,2024
15,"litigation, claims, matters, proceedings, legal",12,2024
16,"properties, environmental, contamination, substances, asbestos",11,2024
17,"chase, jpmorgan, firm, regulatory, clients",21,2024
18,"covid, 19, pandemic, operations, events",17,2024
19,"employees, key, retain, personnel, products",16,2024
20,"tobacco, products, adult, altria, rrps",11,2024
21,"systems, technology, business, digital, operations",13,2024
22,"moody, company, ratings, ma, cras",9,2024
23,"centers, customers, data, power, ibx",10,2024
24,"information, infrastructure, gas, systems, facilities",9,2024
25,"tax, rate, income, changes, effective",6,2024
26,"joint, venture, partners, interests, investments",6,2024
27,"stock, common, price, market, class",5,2024
28,"subcontractors, suppliers, parties, services, components",11,2024
-1,"business, financial, company, including, operations",362,2025
0,"environmental, gas, energy, costs, regulations",230,2025
1,"products, product, laws, fda, federal",92,2025
2,"systems, information, security, cybersecurity, attacks",166,2025
3,"data, privacy, laws, personal, information",59,2025
4,"foreign, currency, operations, countries, international",50,2025
5,"properties, tenants, managers, bankruptcy, tenant",41,2025
6,"products, product, packaging, consumer, including",45,2025
7,"goodwill, impairment, assets, intangible, value",22,2025
8,"food, concepts, restaurants, franchisees, restaurant",27,2025
9,"debt, indebtedness, capital, credit, cash",21,2025
10,"acquired, acquisitions, businesses, acquisition, business",40,2025
11,"laws, bribery, anti, compliance, regulations",22,2025
12,"intellectual, property, rights, protect, patents",14,2025
13,"wireless, services, fcc, spectrum, broadband",20,2025
14,"credit, risk, losses, market, company",16,2025
15,"litigation, claims, matters, company, legal",13,2025
16,"properties, environmental, contamination, property, substances",12,2025
17,"jpmorganchase, chase, jpmorgan, firm, regulatory",22,2025
18,"covid, events, 19, pandemic, operations",15,2025
19,"employees, key, personnel, retain, products",13,2025
20,"tobacco, products, adult, altria, illicit",13,2025
21,"systems, technology, digital, loss, business",13,2025
22,"moody, company, ma, ratings, cras",9,2025
23,"centers, customers, power, data, ibx",11,2025
24,"information, williams, infrastructure, systems, security",7,2025
25,"tax, income, changes, rate, effective",8,2025
26,"joint, venture, partners, interests, ventures",11,2025
27,"stock, price, common, market, securities",4,2025
28,"suppliers, subcontractors, components, parties, services",10,2025
