Topic,Words,Frequency,Timestamp
15,"food, restaurants, restaurant, franchisees, ingredients",9,2013
16,"products, customers, distributors, sales, new",13,2013
17,"products, product, reputation, brands, consumer",12,2013
18,"moody, rating, ratings, company, credit",8,2013
19,"risk, financial, frank, dodd, trading",5,2013
20,"joint, venture, partners, partnership, interests",11,2013
21,"tobacco, altria, subsidiaries, group, cigarettes",6,2013
22,"tax, income, laws, changes, regulations",4,2013
23,"key, employees, personnel, management, retain",7,2013
24,"economic, credit, conditions, adversely, financial",7,2013
25,"tenant, bankruptcy, rent, tenants, lease",11,2013
27,"centers, customers, ibx, datacenter, data",4,2013
28,"ceo, hazardous, mcclendon, key, search",4,2013
29,"consumer, products, preferences, product, good",3,2013
30,"subcontractors, suppliers, components, products, services",4,2013
31,"stock, price, market, securities, common",9,2013
32,"laws, employees, authorization, workers, employment",8,2013
33,"products, laws, ingredients, drinks, sugar",3,2013
34,"carriers, airlines, terrorist, events, operations",3,2013
35,"gtlds, domain, icann, registry, registries",3,2013
36,"motorola, marks, mobility, license, brand",7,2013
37,"lowe, quality, product, retailer, loyalty",1,2013
38,"clients, client, services, insurance, relationships",5,2013
-1,"financial, business, operations, nee, firm",135,2014
0,"information, systems, security, data, technology",103,2014
1,"environmental, gas, regulations, facilities, operations",99,2014
2,"product, health, products, federal, laws",75,2014
3,"foreign, countries, international, currency, operations",34,2014
4,"debt, indebtedness, credit, cash, notes",28,2014
5,"goodwill, impairment, assets, intangible, value",23,2014
6,"litigation, proceedings, legal, claims, lawsuits",25,2014
7,"laws, regulations, bribery, anti, compliance",23,2014
8,"acquired, acquisitions, businesses, acquisition, business",11,2014
9,"properties, redevelopment, projects, tenants, development",8,2014
10,"intellectual, property, rights, patent, patents",11,2014
11,"credit, securities, market, risk, investment",16,2014
12,"fcc, wireless, spectrum, broadband, renewal",14,2014
13,"firm, chase, jpmorgan, credit, market",9,2014
14,"properties, environmental, contamination, property, substances",15,2014
15,"food, restaurants, restaurant, concepts, franchisees",9,2014
16,"products, customers, sales, demand, semiconductor",9,2014
17,"product, products, water, reputation, recall",10,2014
18,"moody, ratings, rating, company, securities",8,2014
19,"regulatory, financial, act, risk, clients",8,2014
20,"joint, venture, partners, partnership, interests",10,2014
21,"tobacco, altria, group, subsidiaries, products",8,2014
22,"tax, income, changes, laws, jurisdictions",7,2014
23,"hewitt, key, employees, personnel, savings",4,2014
24,"credit, economic, financial, markets, conditions",6,2014
25,"tenant, rent, bankruptcy, tenants, lease",7,2014
27,"centers, customers, ibx, service, equipment",4,2014
28,"attacks, information, assets, threats, operations",6,2014
29,"consumer, products, livestock, preferences, product",4,2014
30,"subcontractors, outsource, suppliers, subcontractor, services",2,2014
31,"stock, common, price, market, securities",6,2014
32,"laws, employees, authorization, workers, employment",7,2014
33,"products, laws, ingredients, taxes, certain",5,2014
34,"carriers, airline, operations, disaster, events",4,2014
35,"gtlds, icann, registry, domain, internet",4,2014
36,"motorola, marks, mobility, license, lenovo",4,2014
37,"guests, lowe, reputation, team, target",3,2014
38,"clients, services, client, insurance, relationships",6,2014
-1,"financial, business, operations, results, result",139,2015
0,"information, systems, security, data, technology",114,2015
1,"gas, environmental, operations, energy, regulations",107,2015
2,"product, health, products, federal, laws",78,2015
3,"foreign, currency, countries, exchange, operations",36,2015
4,"debt, indebtedness, credit, cash, capital",25,2015
5,"goodwill, impairment, assets, intangible, value",21,2015
6,"litigation, legal, proceedings, claims, matters",20,2015
7,"laws, bribery, anti, regulations, compliance",21,2015
8,"acquired, acquisitions, acquisition, businesses, business",15,2015
9,"properties, tenants, projects, redevelopment, development",15,2015
10,"intellectual, property, rights, patent, protect",16,2015
11,"credit, securities, market, risk, investment",13,2015
12,"wireless, fcc, spectrum, content, cable",16,2015
13,"firm, chase, jpmorgan, market, credit",13,2015
14,"properties, environmental, property, contamination, substances",17,2015
15,"food, restaurants, restaurant, borne, concepts",9,2015
16,"products, distributors, customers, sales, new",14,2015
17,"product, products, reputation, materials, consumer",12,2015
18,"moody, company, ratings, rating, securities",9,2015
19,"regulatory, financial, clients, act, management",10,2015
20,"joint, venture, partners, partnership, interests",10,2015
21,"tobacco, altria, group, subsidiaries, products",8,2015
22,"tax, income, changes, taxes, earnings",7,2015
23,"employees, key, retain, skilled, personnel",7,2015
24,"financial, economic, credit, condition, results",7,2015
25,"tenant, rent, tenants, bankruptcy, lease",7,2015
27,"centers, power, data, customers, ibx",5,2015
28,"information, infrastructure, systems, assets, production",7,2015
29,"consumer, products, livestock, preferences, product",4,2015
30,"subcontractors, outsource, components, suppliers, services",4,2015
31,"stock, price, common, market, securities",5,2015
32,"employees, authorization, laws, workers, work",8,2015
33,"products, ingredients, laws, taxes, substances",4,2015
34,"disaster, man, events, natural, disasters",2,2015
35,"gtlds, icann, domain, registry, internet",5,2015
36,"motorola, marks, mobility, license, brand",4,2015
37,"guests, lowe, reputation, team, negative",5,2015
38,"clients, services, client, competitors, solutions",6,2015
-1,"financial, business, operations, including, results",140,2016
0,"information, systems, security, data, technology",119,2016
1,"gas, environmental, natural, facilities, operations",111,2016
2,"product, health, products, fda, federal",78,2016
3,"foreign, currency, international, exchange, operations",42,2016
4,"debt, indebtedness, capital, credit, cash",26,2016
5,"goodwill, impairment, assets, intangible, value",24,2016
6,"legal, proceedings, litigation, lawsuits, claims",16,2016
7,"laws, bribery, anti, regulations, compliance",24,2016
8,"acquired, acquisitions, acquisition, businesses, company",14,2016
9,"properties, tenants, managers, redevelopment, development",13,2016
10,"intellectual, property, rights, patent, patents",16,2016
11,"credit, securities, risk, market, loans",15,2016
12,"fcc, wireless, spectrum, content, services",11,2016
13,"firm, chase, jpmorgan, market, credit",13,2016
14,"properties, environmental, contamination, substances, property",16,2016
15,"food, franchisees, concepts, restaurants, borne",3,2016
16,"products, distributors, customers, sales, new",14,2016
17,"product, products, reputation, materials, agricultural",10,2016
18,"moody, company, ratings, rating, credit",11,2016
19,"financial, regulatory, management, broker, rjf",9,2016
20,"joint, venture, partners, partnership, interests",10,2016
21,"tobacco, altria, subsidiaries, group, products",7,2016
22,"tax, income, changes, rate, effective",7,2016
23,"key, employees, personnel, retain, senior",8,2016
24,"credit, economic, financial, affect, markets",4,2016
25,"tenant, rent, tenants, bankruptcy, leases",6,2016
27,"centers, ibx, power, customers, data",8,2016
28,"infrastructure, information, production, gas, systems",6,2016
29,"consumer, products, livestock, preferences, perceptions",5,2016
30,"components, subcontractors, outsource, suppliers, parties",4,2016
31,"stock, price, common, market, securities",4,2016
32,"laws, nutritional, relating, regulations, state",2,2016
33,"products, ingredients, laws, substances, valid",3,2016
34,"man, disaster, events, disasters, terrorism",2,2016
35,"gtlds, domain, internet, registry, services",4,2016
36,"motorola, marks, mobility, license, lenovo",3,2016
37,"lowe, image, rona, reputation, guests",4,2016
38,"clients, services, client, competitors, solutions",6,2016
-1,"financial, business, operations, results, firm",148,2017
0,"information, systems, security, data, business",135,2017
1,"gas, environmental, natural, facilities, energy",103,2017
2,"product, products, health, fda, federal",82,2017
3,"foreign, countries, international, operations, currency",41,2017
4,"debt, indebtedness, cash, capital, credit",23,2017
5,"goodwill, impairment, assets, intangible, value",21,2017
6,"litigation, proceedings, legal, claims, matters",19,2017
7,"laws, bribery, anti, regulations, compliance",21,2017
8,"acquired, acquisitions, acquisition, businesses, business",17,2017
9,"properties, tenants, managers, redevelopment, debt",18,2017
10,"intellectual, property, rights, patent, protect",18,2017
11,"credit, securities, market, risk, yen",14,2017
12,"content, fcc, wireless, spectrum, programming",14,2017
13,"firm, chase, jpmorgan, market, credit",14,2017
14,"environmental, properties, contamination, property, hazardous",16,2017
15,"food, restaurants, concepts, restaurant, franchisees",18,2017
16,"products, distributors, customers, new, sales",15,2017
17,"products, product, water, materials, agricultural",12,2017
18,"moody, company, ratings, rating, cras",12,2017
19,"financial, regulatory, broker, management, truist",10,2017
20,"joint, venture, partnership, partners, interests",9,2017
21,"tobacco, altria, group, subsidiaries, products",10,2017
22,"tax, income, changes, laws, regulations",6,2017
23,"key, employees, personnel, retain, skilled",7,2017
24,"economic, customers, financial, conditions, business",6,2017
25,"tenant, rent, bankruptcy, leases, tenants",6,2017
27,"centers, power, customers, ibx, data",6,2017
28,"information, infrastructure, production, systems, chemical",7,2017
29,"consumer, products, preferences, livestock, product",7,2017
30,"outsource, subcontractors, components, suppliers, parties",5,2017
31,"stock, common, price, market, securities",5,2017
32,"laws, employees, authorization, workers, claims",9,2017
33,"products, laws, packaging, ingredients, labeling",5,2017
34,"disaster, man, carriers, aircraft, events",2,2017
35,"registry, gtlds, services, icann, internet",4,2017
36,"motorola, marks, mobility, license, brand",3,2017
37,"lowe, reputation, image, negative, guests",6,2017
38,"clients, services, client, solutions, competitors",7,2017
-1,"financial, jpmorgan, chase, business, including",152,2018
0,"information, security, systems, data, technology",138,2018
1,"gas, environmental, energy, natural, operations",113,2018
2,"product, products, health, fda, laws",80,2018
3,"foreign, currency, international, operations, countries",45,2018
4,"debt, indebtedness, cash, credit, facility",25,2018
5,"goodwill, impairment, assets, intangible, value",26,2018
6,"proceedings, legal, litigation, claims, matters",20,2018
7,"laws, anti, bribery, regulations, compliance",21,2018
8,"acquired, acquisitions, acquisition, businesses, transaction",18,2018
9,"properties, tenants, managers, operators, redevelopment",17,2018
10,"intellectual, property, rights, patent, protect",17,2018
11,"credit, securities, company, yen, risk",10,2018
12,"wireless, fcc, spectrum, content, services",16,2018
13,"chase, jpmorgan, firm, market, clients",22,2018
14,"properties, environmental, contamination, property, hazardous",15,2018
15,"food, restaurants, concepts, restaurant, franchisees",19,2018
16,"products, distributors, customers, distributor, sales",14,2018
17,"products, product, consumer, reputation, failure",10,2018
18,"moody, company, ratings, rating, cras",13,2018
19,"financial, management, bank, regulatory, risk",9,2018
20,"joint, venture, partnership, partners, interests",11,2018
21,"tobacco, altria, group, subsidiaries, adult",10,2018
22,"tax, income, changes, rate, act",13,2018
23,"employees, key, restructuring, retain, personnel",8,2018
24,"economic, financial, credit, markets, results",10,2018
25,"tenant, bankruptcy, rent, lease, tenants",8,2018
26,"company, ferrous, covid, 19, freight",1,2018
27,"centers, customers, ibx, data, power",8,2018
28,"information, infrastructure, systems, chemical, natural",6,2018
29,"consumer, products, livestock, preferences, product",8,2018
30,"subcontractors, suppliers, components, services, outsource",7,2018
31,"stock, common, price, market, securities",4,2018
32,"laws, authorization, employees, workers, food",7,2018
33,"products, laws, packaging, labeling, sugar",6,2018
34,"disaster, events, man, airline, terrorist",2,2018
35,"domain, zone, internet, names, root",3,2018
36,"motorola, marks, mobility, license, lenovo",2,2018
37,"lowe, reputation, image, negative, guests",6,2018
38,"clients, services, client, advice, acquisition",3,2018
-1,"financial, business, including, results, operations",142,2019
0,"information, systems, data, security, technology",168,2019
1,"gas, energy, environmental, natural, operations",122,2019
2,"products, product, health, fda, laws",81,2019
3,"foreign, currency, countries, international, operations",50,2019
4,"debt, indebtedness, cash, credit, capital",28,2019
5,"goodwill, impairment, assets, intangible, value",27,2019
6,"litigation, proceedings, claims, legal, matters",23,2019
7,"laws, anti, regulations, bribery, compliance",25,2019
8,"acquired, acquisitions, businesses, acquisition, transactions",20,2019
9,"properties, tenants, managers, operators, sunrise",18,2019
10,"intellectual, property, rights, protect, patent",20,2019
11,"credit, securities, risk, market, loans",11,2019
12,"wireless, fcc, spectrum, content, services",15,2019
13,"chase, jpmorgan, firm, market, clients",25,2019
14,"properties, environmental, contamination, property, substances",17,2019
15,"food, restaurants, concepts, restaurant, franchisees",24,2019
16,"products, distributors, customers, semiconductor, demand",12,2019
17,"product, products, canopy, reputation, failure",12,2019
18,"moody, company, ratings, rating, services",16,2019
19,"financial, management, regulatory, risk, company",8,2019
20,"joint, venture, partners, partnership, interests",9,2019
21,"tobacco, altria, subsidiaries, adult, products",10,2019
22,"tax, changes, income, rate, effective",10,2019
23,"key, employees, skilled, retain, senior",6,2019
24,"economic, conditions, financial, results, business",7,2019
25,"tenant, bankruptcy, rent, tenants, lease",8,2019
26,"company, ferrous, covid, 19, freight",1,2019
27,"centers, power, customers, ibx, data",7,2019
28,"information, infrastructure, systems, gas, cyber",11,2019
29,"consumer, products, livestock, preferences, product",7,2019
30,"suppliers, components, subcontractors, services, products",8,2019
31,"stock, price, common, market, securities",6,2019
32,"laws, food, employees, authorization, claims",6,2019
33,"products, packaging, laws, labeling, consumption",7,2019
34,"events, catastrophic, company, airline, terrorist",3,2019
35,"icann, root, internet, domain, zone",5,2019
36,"motorola, marks, mobility, license, brand",2,2019
37,"reputation, lowe, 2018, negative, guests",6,2019
38,"clients, client, services, service, advice",4,2019
-1,"financial, business, including, jpmorgan, chase",125,2020
0,"information, data, systems, security, technology",178,2020
1,"gas, environmental, energy, natural, operations",130,2020
2,"products, product, health, fda, laws",80,2020
3,"foreign, countries, currency, international, operations",54,2020
4,"debt, indebtedness, credit, cash, libor",33,2020
5,"goodwill, impairment, assets, intangible, value",23,2020
6,"litigation, proceedings, legal, claims, matters",22,2020
7,"laws, regulations, anti, bribery, compliance",23,2020
8,"acquired, acquisitions, acquisition, transactions, businesses",28,2020
9,"properties, tenants, operators, managers, sunrise",20,2020
10,"intellectual, property, rights, patents, protect",23,2020
11,"credit, company, loans, securities, risk",11,2020
12,"wireless, fcc, spectrum, services, content",18,2020
13,"chase, jpmorgan, market, firm, clients",20,2020
14,"properties, environmental, contamination, property, substances",14,2020
15,"food, restaurants, concepts, restaurant, franchisees",14,2020
16,"products, distributors, customers, sales, significant",14,2020
17,"canopy, product, products, brands, quality",16,2020
18,"moody, company, ratings, rating, services",14,2020
19,"truist, financial, company, regulatory, management",11,2020
20,"joint, venture, partners, partnership, interests",11,2020
21,"tobacco, altria, juul, subsidiaries, products",13,2020
22,"tax, income, changes, rate, effective",15,2020
23,"key, personnel, retain, employees, senior",5,2020
24,"economic, credit, financial, customers, adversely",7,2020
25,"tenant, bankruptcy, rent, tenants, lease",9,2020
26,"covid, 19, pandemic, business, impact",9,2020
27,"centers, customers, data, power, ibx",8,2020
28,"information, infrastructure, systems, cyber, gas",8,2020
29,"consumer, livestock, products, preferences, consumers",5,2020
30,"subcontractors, components, suppliers, services, parties",7,2020
31,"stock, price, market, common, securities",5,2020
32,"laws, food, relating, employment, regulations",3,2020
33,"products, packaging, laws, labeling, regulations",11,2020
34,"disaster, events, man, operations, aircraft",5,2020
35,"domain, internet, names, zone, root",5,2020
36,"motorola, marks, mobility, license, lenovo",3,2020
37,"lowe, image, reputation, negative, guests",4,2020
38,"clients, client, services, businesses, advice",4,2020
-1,"financial, business, including, operations, results",119,2021
0,"information, systems, data, security, technology",193,2021
1,"gas, environmental, energy, operations, natural",138,2021
2,"products, product, drug, fda, laws",91,2021
3,"foreign, currency, countries, international, operations",43,2021
4,"debt, indebtedness, libor, credit, capital",34,2021
5,"goodwill, impairment, assets, intangible, value",27,2021
6,"litigation, legal, matters, proceedings, claims",17,2021
7,"laws, anti, bribery, regulations, compliance",18,2021
8,"acquired, acquisitions, businesses, acquisition, transaction",24,2021
9,"properties, tenants, covid, 19, pandemic",33,2021
10,"intellectual, property, rights, patents, protect",14,2021
11,"credit, company, risk, securities, market",13,2021
12,"wireless, fcc, services, spectrum, content",14,2021
13,"chase, jpmorgan, firm, market, clients",23,2021
14,"properties, environmental, contamination, asbestos, property",11,2021
15,"food, restaurants, restaurant, concepts, franchisees",16,2021
16,"products, distributors, customers, results, customer",11,2021
17,"canopy, products, product, quality, safety",12,2021
18,"moody, company, ratings, rating, services",16,2021
19,"truist, financial, company, regulatory, clients",14,2021
20,"joint, venture, partners, partnership, interests",12,2021
21,"tobacco, altria, subsidiaries, juul, products",14,2021
22,"tax, income, changes, rate, effective",15,2021
23,"key, employees, personnel, management, retain",7,2021
24,"economic, adversely, financial, customers, credit",9,2021
25,"tenant, bankruptcy, rent, tenants, lease",7,2021
26,"covid, 19, pandemic, impact, business",40,2021
27,"centers, customers, data, power, ibx",9,2021
28,"chemical, cyber, information, attack, data",5,2021
29,"consumer, products, livestock, preferences, consumers",6,2021
30,"subcontractors, suppliers, services, components, parties",6,2021
31,"stock, price, market, common, securities",3,2021
32,"laws, employment, wage, employees, labor",6,2021
33,"products, packaging, laws, regulations, labeling",6,2021
34,"events, operations, catastrophic, carriers, climate",9,2021
35,"internet, domain, root, rpki, icann",5,2021
36,"motorola, marks, mobility, license, lenovo",4,2021
37,"lowe, reputation, image, negative, guests",6,2021
38,"clients, advice, client, consulting, investment",3,2021
-1,"including, business, financial, jpmorgan, chase",106,2022
0,"information, data, systems, security, technology",222,2022
1,"environmental, gas, energy, operations, costs",169,2022
2,"products, product, health, laws, fda",87,2022
3,"foreign, countries, trade, currency, international",47,2022
4,"debt, indebtedness, credit, covenants, capital",29,2022
5,"goodwill, impairment, assets, intangible, value",20,2022
6,"litigation, legal, claims, proceedings, matters",21,2022
7,"laws, anti, bribery, regulations, foreign",17,2022
8,"acquired, acquisition, acquisitions, transaction, businesses",24,2022
9,"properties, tenants, pandemic, covid, 19",33,2022
10,"intellectual, property, rights, patents, patent",17,2022
11,"credit, company, securities, risk, market",15,2022
12,"wireless, spectrum, fcc, services, content",18,2022
13,"chase, jpmorgan, firm, market, clients",22,2022
14,"properties, environmental, contamination, substances, real",12,2022
15,"food, restaurants, restaurant, franchisees, concepts",17,2022
16,"products, distributors, customers, sales, product",14,2022
17,"products, product, recall, canopy, quality",15,2022
18,"moody, company, ratings, credit, cras",16,2022
19,"truist, company, regulatory, financial, management",17,2022
20,"joint, partnership, venture, partners, interests",11,2022
21,"tobacco, altria, investees, juul, products",13,2022
22,"tax, income, changes, rate, laws",14,2022
23,"key, employees, personnel, retain, labor",14,2022
24,"economic, credit, adversely, customers, financial",9,2022
25,"tenant, bankruptcy, rent, lease, tenants",8,2022
26,"covid, 19, pandemic, impact, business",42,2022
27,"centers, customers, power, data, ibx",8,2022
28,"pipelines, information, infrastructure, facilities, gas",8,2022
29,"consumer, products, preferences, livestock, consumers",6,2022
30,"subcontractors, services, suppliers, components, parties",6,2022
31,"stock, common, price, market, securities",4,2022
32,"laws, employment, regulations, food, employees",4,2022
33,"packaging, products, laws, regulations, sugar",5,2022
34,"events, disaster, operations, climate, carriers",9,2022
35,"internet, domain, rpki, root, gtlds",5,2022
36,"motorola, marks, mobility, license, lenovo",4,2022
37,"reputation, lowe, negative, image, vendors",6,2022
38,"clients, client, advice, investment, services",4,2022
-1,"business, including, financial, jpmorgan, chase",115,2023
0,"information, data, systems, security, business",238,2023
1,"environmental, gas, energy, operations, costs",193,2023
2,"products, product, laws, health, fda",87,2023
3,"foreign, currency, countries, international, operations",57,2023
4,"debt, indebtedness, credit, capital, covenants",33,2023
5,"goodwill, impairment, assets, intangible, value",19,2023
6,"matters, legal, proceedings, litigation, claims",17,2023
7,"laws, regulations, compliance, anti, bribery",20,2023
8,"acquired, acquisitions, transaction, acquisition, businesses",21,2023
9,"properties, tenants, managers, pandemic, covid",30,2023
10,"intellectual, property, rights, patents, patent",24,2023
11,"credit, company, risk, securities, market",17,2023
12,"wireless, fcc, services, spectrum, network",19,2023
13,"chase, jpmorgan, firm, market, regulatory",21,2023
14,"properties, environmental, contamination, asbestos, property",14,2023
15,"food, restaurant, restaurants, concepts, franchisees",15,2023
16,"products, distributors, customers, semiconductor, sales",12,2023
17,"products, product, recall, safety, quality",15,2023
18,"moody, company, ratings, cras, credit",15,2023
19,"truist, company, regulatory, financial, clients",18,2023
20,"joint, partnership, venture, partners, directors",16,2023
21,"tobacco, altria, products, adult, juul",12,2023
22,"tax, income, changes, rate, effective",13,2023
23,"employees, key, retain, personnel, senior",19,2023
24,"economic, adversely, results, financial, credit",13,2023
25,"tenant, bankruptcy, rent, lease, tenants",6,2023
26,"covid, 19, pandemic, impact, including",21,2023
27,"centers, customers, data, ibx, power",8,2023
28,"information, infrastructure, systems, security, pipelines",10,2023
29,"consumer, products, livestock, preferences, consumers",7,2023
30,"subcontractors, suppliers, services, components, parties",5,2023
31,"stock, price, common, market, shareholders",3,2023
32,"laws, employment, food, employees, regulations",4,2023
33,"packaging, products, laws, regulations, labeling",5,2023
34,"events, operations, climate, weather, disasters",12,2023
35,"internet, domain, gtlds, root, rpki",6,2023
36,"motorola, marks, mobility, license, lenovo",2,2023
37,"lowe, reputation, image, negative, com",5,2023
38,"clients, client, services, advice, insurance",4,2023
-1,"including, business, jpmorgan, chase, financial",112,2024
0,"information, systems, data, security, cybersecurity",298,2024
1,"environmental, gas, energy, climate, costs",217,2024
2,"products, product, laws, health, fda",100,2024
3,"foreign, currency, international, operations, countries",51,2024
4,"debt, indebtedness, credit, capital, cash",38,2024
5,"goodwill, impairment, assets, intangible, value",21,2024
6,"litigation, matters, legal, proceedings, claims",23,2024
7,"laws, anti, regulations, bribery, compliance",19,2024
8,"acquired, merger, acquisitions, acquisition, business",42,2024
9,"properties, tenants, managers, borrowers, operators",28,2024
10,"intellectual, property, rights, protect, patents",22,2024
11,"credit, company, risk, losses, market",19,2024
12,"wireless, services, fcc, network, content",19,2024
13,"chase, jpmorgan, firm, market, clients",24,2024
14,"properties, environmental, contamination, substances, property",11,2024
15,"food, restaurants, concepts, restaurant, franchisees",15,2024
16,"products, distributors, customers, product, customer",13,2024
17,"products, product, reputation, safety, quality",17,2024
